Date,State,Title
2019-01-09,Maryland,Flow Cytometry Analysis Software site license
2019-01-31,Colorado,SoleSource Justification Announcement
2019-01-03,Pennsylvania,Human Rights and Humanitarian Law Training
2019-01-11,District Of Columbia,TS GOLDEN BEAR Annual Security Service
2019-01-08,Virginia,sap2000 Plus Maintenance - Network License Renewal
2019-01-07,Illinois,Quark Two-Factor Authentication Solution
2019-01-28,Oklahoma,Long Term Health Monitoring System
2019-01-11,Maryland,Defensive & Evasive Driver Course
2019-01-22,Illinois,CA software licensing and maintenance/sustainment renewal
2019-01-06,Maryland,NINDS Human Genetics Resource Center
2019-01-16,California,Seismic Safety Modernization & Site Utilities Projects
2019-01-23,California,BELLA Large Laser Optics
2019-01-07,Texas,Laboratory Testing Services
2019-02-11,Maryland,Blanket Purchase Agreements for contractors to pro
2019-02-06,Virginia,IT Operations and Maintenance (O&M) Services
2019-01-22,Georgia,Compliance Emission Testing of Nine (9) Peak Shave Generators
2019-09-30,Virginia,Long Range BAA
2019-01-04,Maryland,Mass Spectrometer and Maintenance
2019-03-04,District Of Columbia,High Frequency (HF) Cellular Over The Horizon Enforcement Network (COTHEN).
2019-01-16,District Of Columbia,Privatized Correctional Facilities in the Southeast Region
2019-01-25,Colorado,"Dunseith, St John and Pembina concrete"
2019-01-15,Texas,5TX0570
2019-02-11,Maryland,Technology Advancement Utilizing Suborbital Flight Opportunities - (Tech Flights)
2019-01-07,Texas,Enviromental Information Tchnology Management Program Support
2019-01-03,Washington,N0025319Q0049
2019-01-21,Illinois,"Broadview Security System Upgrades; ICE Facility, Broadview, IL County of Cook"
2019-01-04,Maryland,P-8A Test Aircraft & PAXSIL Sustainment
2019-01-04,Maryland,End Sleeves and Inhibitors
2019-01-09,Washington,LMA CCTV Security Visual Equipment Upgrade
2019-01-31,New Jersey,High Voltage Switching Device
2019-01-25,Colorado,Ambrose Portal Concrete 19
2019-01-18,Virginia,Endpoint Security Solution for Mobile Devices
2019-01-07,New Jersey,"Software Design, Systems engineering and Fielding Support for AATS CLPS ARTS-V1"
2019-01-04,Maryland,PHANTOM CAMERA
2019-01-31,Wisconsin,Website Design & Redevelopment Request for Proposals (RFP)
2019-01-22,Georgia,AN/ALM-256 Support Equipment Sustaining Engineering Services
2019-01-08,Maryland,Sole Source Synopsis for Thermo-Calc
2019-01-16,District Of Columbia,DHS Enterprise Financial Management Systems (EFiMS)
2019-01-23,District Of Columbia,DHS FY 19 SBIR Solicitation
2019-01-24,Colorado,BOR carpet replacement
